officer_id,officer_name,branch_code,officer_role,hire_date
OFC2174,Jacqueline Williamson,BR1022,Credit Officer,2017-01-10
OFC2175,Andrew Grant,BR1080,Credit Officer,12/03/2023
OFC2176,Alexandra Fletcher,BR1055,Relationship Manager,08/07/2015
OFC2177,Todd Franco,BR1009,Branch Manager,03/07/2015
OFC2178,Aaron Daniels,BR1084,Credit Officer,2013-03-27
OFC2179,Heather Johnson,BR1079,Credit Officer,2025-01-26
OFC2180,Chase Hansen,BR1022,,29/05/2013
OFC2181,Elizabeth Cruz,BR1005,Credit Officer,23/12/2019
OFC2182,Tyler Acosta,BR1020,credit officer,18/04/2019
OFC2183,Richard Blake,BR1083,Relationship Manager,2019-06-15
OFC2184,Kevin Adams,BR1033,credit officer,2023-11-06
OFC2185,Elizabeth Marshall,BR1032,credit officer,2020-11-19
OFC2186,Timothy Garcia,BR1004,credit officer,12/11/2019
OFC2187,Suzanne Becker,BR1065,Credit Officer,2021-05-14
OFC2188,Joseph Morris,BR1061,Credit Officer,03/05/2015
OFC2189,Rhonda Ritter,BR1022,credit officer,08/07/2023
OFC2190,Nancy Garner,BR1069,Branch Manager,30/01/2020
OFC2191,Rebecca Olson,BR1017,,30/04/2012
OFC2192,Elizabeth Anderson,BR1051,credit officer,23/06/2014
OFC2193,Nicholas Lopez,BR1068,,2017-04-22
OFC2194,Christopher Edwards,BR1055,credit officer,05/12/2020
OFC2195,Timothy Morgan,BR1082,Relationship Manager,31/12/2020
OFC2196,Jonathan Green,BR1041,Relationship Manager,30/11/2016
OFC2197,Dale Levine,BR1057,Relationship Manager,25/02/2021
OFC2198,Amanda Collins,BR1073,,11/12/2024
OFC2199,Kara Smith,BR1076,Credit Officer,2013-05-24
OFC2200,Johnathan Harris,BR1080,Branch Manager,13/12/2011
OFC2201,James Butler MD,BXW129,,2019-02-24
OFC2202,Mrs. Suzanne Allen,BR1054,,2020-07-11
OFC2203,David Poole,BR1061,Relationship Manager,2020-12-31
OFC2204,Sylvia Holmes,BR1022,Relationship Manager,2019-10-19
OFC2205,Sandra Butler,BR1042,Relationship Manager,16/01/2017
OFC2206,Robert Holloway,BR1054,credit officer,30/03/2013
OFC2207,Jane Oconnor,BR1021,,13/05/2025
OFC2208,Bobby Graham,BR1076,Relationship Manager,08/01/2021
OFC2209,Mrs. Lindsay Wilson,BR1082,credit officer,02/12/2013
OFC2210,Seth Cook,BXE100,,24/10/2022
OFC2211,Victoria Williams,BR1001,,24/10/2012
OFC2212,Dylan Glass,BR1070,Branch Manager,11/01/2018
OFC2213,Melanie Graves,BR1065,Branch Manager,2015-04-07
OFC2214,Christopher Ochoa,BR1063,credit officer,2015-12-01
OFC2215,Christopher Cherry,BR1007,Relationship Manager,12/03/2017
OFC2216,Marvin Williams,BR1026,Credit Officer,30/03/2013
OFC2217,Christina Donaldson,BR1004,Relationship Manager,2012-01-10
OFC2218,Robert Arroyo,BR1006,Branch Manager,11/04/2016
OFC2219,Sierra Frey,BR1020,Credit Officer,03/10/2022
OFC2220,Susan Anderson,BR1069,Credit Officer,30/07/2014
OFC2221,Nicholas Johnson,BR1001,Relationship Manager,05/06/2021
OFC2222,Steven Murray,BR1044,Credit Officer,22/12/2016
OFC2223,Christopher Marshall,BR1045,credit officer,2022-01-07
OFC2224,Melissa Parker,BXE177,Branch Manager,25/09/2016
OFC2225,Mr. William George,BR1002,credit officer,22/03/2016
OFC2226,Tamara Hart,BR1009,Branch Manager,28/12/2024
OFC2227,Christopher Murphy,BR1010,Branch Manager,09/01/2023
OFC2228,William Caldwell,BR1070,,2015-02-23
OFC2229,Anthony Wilson,BR1041,Credit Officer,2018-10-03
OFC2230,Johnathan Irwin,BR1001,,2020-04-09
OFC2231,Shane Robertson,BR1026,Credit Officer,14/12/2019
OFC2232,Tammy Garner,BR1054,,16/01/2012
OFC2233,Nancy Smith,BR1057,credit officer,17/01/2013
OFC2234,Christopher Benson,BR1012,Branch Manager,25/07/2018
OFC2235,Lauren Patterson,BR1043,,2014-05-21
OFC2236,Michael Casey,BR1036,Relationship Manager,23/10/2020
OFC2237,Dr. Erin Johnson,BR1028,Credit Officer,2013-01-23
OFC2238,Scott Yates,BXW118,,07/12/2023
OFC2239,Gwendolyn Thomas,BR1014,Branch Manager,11/09/2015
OFC2240,Anthony Lopez MD,BR1063,Relationship Manager,14/03/2014
OFC2241,Steven Jones,BR1019,,06/07/2023
OFC2242,Ashley Torres,BXE177,Branch Manager,2012-04-16
OFC2243,Michael Gordon,BR1079,Branch Manager,2021-11-26
OFC2244,Abigail Kennedy,BR1084,Branch Manager,2017-07-13
OFC2245,Jennifer Miller,BR1005,Relationship Manager,24/07/2013
OFC2246,Renee Richards,BR1025,Relationship Manager,2019-06-06
OFC2247,Theodore Reid,BR1009,Relationship Manager,2023-06-25
OFC2248,Kimberly Robertson,BR1082,Credit Officer,15/02/2012
OFC2249,Luke Adams,BR1040,credit officer,25/06/2024
OFC2250,Mrs. Megan Burns,BR1033,Relationship Manager,2017-10-25
OFC2251,Alison Johnson,BR1023,Relationship Manager,2014-08-14
OFC2252,Amanda Morales,BR1051,Branch Manager,2016-01-29
OFC2253,Denise Watkins,BR1081,,2014-09-06
OFC2254,Nancy Sanchez,BXW131,Credit Officer,2013-10-07
OFC2255,Matthew Bernard,BR1030,Relationship Manager,2015-03-03
OFC2256,Samuel Allen,BR1032,Relationship Manager,15/11/2016
OFC2257,Ashley Rivera PhD,BR1083,Relationship Manager,18/03/2012
OFC2258,Ruth Sharp,BR1045,Credit Officer,21/07/2016
OFC2259,Belinda Young,BR1037,,2021-11-22
OFC2260,Lisa Moore,BR1012,Branch Manager,08/05/2015
OFC2261,Dustin Cantu DDS,BR1001,Branch Manager,2024-01-18
OFC2262,Heather Eaton,BR1047,credit officer,25/06/2015
OFC2263,Lori Rubio,BR1054,credit officer,2016-07-06
OFC2264,Carmen Weaver,BR1065,Credit Officer,2012-02-01
OFC2265,Raymond Durham,BR1062,Credit Officer,13/05/2018
OFC2266,Matthew Giles,BR1003,Credit Officer,2021-01-27
OFC2267,Jacqueline Mason,BR1017,credit officer,2011-10-20
OFC2268,Catherine Garcia,BR1020,Relationship Manager,16/12/2014
OFC2269,Sharon Elliott,BR1003,Relationship Manager,2019-01-23
OFC2270,Gregory Mercado MD,BR1038,Relationship Manager,21/02/2019
OFC2271,Peter Taylor,BR1048,credit officer,19/05/2014
OFC2272,Jennifer Lane,BXE177,Credit Officer,2020-07-29
OFC2273,James Shepard,BR1011,,2024-09-02
OFC2274,Julie Allen,BR1009,Branch Manager,29/05/2015
OFC2275,Jerome Taylor,BR1082,Credit Officer,2017-07-02
OFC2276,Jacob Weaver,BR1076,Credit Officer,2016-09-18
OFC2277,Terri Mack,BXN127,Credit Officer,2024-03-17
OFC2278,Crystal Rice,BR1059,,28/08/2011
OFC2279,Gregory Larson,BR1034,credit officer,23/02/2017
OFC2280,Ann Anderson,BR1006,,2021-06-11
OFC2281,Judy Brown,BR1005,Credit Officer,2016-12-01
OFC2282,Jeremiah Johnson,BR1008,,2019-07-11
OFC2283,Anthony Davis,BR1051,Branch Manager,21/04/2023
OFC2284,Allison Espinoza,BR1042,,17/11/2017
OFC2285,Justin Griffin,BR1052,credit officer,16/09/2015
OFC2286,Douglas Ellis,BR1073,credit officer,2021-04-21
OFC2287,Michele Harris,BR1035,credit officer,2025-03-07
OFC2288,Jeffery Gardner,BR1009,,2016-08-14
OFC2289,Donna Wilson,BR1055,Branch Manager,20/02/2012
OFC2290,Samantha Rivera,BR1078,,2025-04-27
OFC2291,Andrew Ryan,BR1047,Branch Manager,27/06/2018
OFC2292,Mitchell Lamb,BR1040,credit officer,2025-01-16
OFC2293,Jessica Pierce,BR1057,,2024-07-14
OFC2294,Shelley Anderson,BR1045,,2013-03-26
OFC2295,Brandi Perkins,BR1057,,18/01/2021
OFC2296,Jennifer Cox,BR1047,,2022-01-26
OFC2297,Sarah Chavez,BR1050,,21/11/2012
OFC2298,Jacob Roy,BR1004,Credit Officer,04/11/2012
OFC2299,Aaron Scott,BR1048,Credit Officer,2016-02-03
OFC2300,Jason Grimes,BR1037,Credit Officer,05/06/2013
OFC2301,Douglas Henderson,BR1032,Branch Manager,05/06/2015
OFC2302,Michael Henry,BR1036,Branch Manager,2024-12-26
OFC2303,Tracy Phillips,BXE100,Credit Officer,2014-04-13
OFC2304,Matthew Spencer,BXN115,Branch Manager,2016-05-16
OFC2305,Kurt Stewart,BR1003,Branch Manager,17/05/2023
OFC2306,Wendy Boone,BR1032,Relationship Manager,01/02/2017
OFC2307,Stephanie Nguyen,BR1071,Credit Officer,2025-01-20
OFC2308,Catherine Leach,BR1069,Branch Manager,02/03/2013
OFC2309,Tanya Washington,BR1049,,21/04/2014
OFC2310,Deborah Mason,BR1080,,04/10/2022
OFC2311,David Jordan,BXN115,Credit Officer,2017-10-23
OFC2312,Robert Hamilton,BR1072,,2015-04-07
OFC2313,Joe Anderson,BR1075,Branch Manager,03/12/2023
OFC2314,Dr. Brenda James,BR1035,Branch Manager,2022-09-10
OFC2315,Richard Avila,BR1059,Relationship Manager,2015-09-27
OFC2316,Jeremiah Jackson,BR1012,,31/05/2014
OFC2317,Amanda Hamilton,BR1016,credit officer,14/04/2016
OFC2318,Natalie Rhodes,BR1011,,15/09/2021
OFC2319,Barbara Lee,BR1013,Branch Manager,2015-03-27
OFC2320,Jonathan Brown,BR1083,,18/04/2021
OFC2321,Teresa Obrien,BR1003,,2024-05-20
OFC2322,Teresa Moore,BXE177,Branch Manager,27/11/2013
OFC2323,Karen Wiggins,BR1061,credit officer,2018-09-09
OFC2324,Jacob Stein,BR1019,Branch Manager,24/07/2022
OFC2325,Brandon Mcpherson,BR1017,Relationship Manager,24/07/2020
OFC2326,James Williams,BR1021,Credit Officer,2019-01-20
OFC2327,Jennifer Wolf,BR1028,credit officer,2017-01-17
OFC2328,Mitchell Rivera,BR1026,Relationship Manager,2021-11-04
OFC2329,Nichole Graham,BR1040,credit officer,18/10/2019
OFC2330,Jack Dominguez,BR1043,,04/08/2014
OFC2331,Amanda English,BR1041,Branch Manager,18/03/2015
OFC2332,Misty Hall,BR1033,Branch Manager,27/05/2013
OFC2333,Christopher Mendez,BR1075,credit officer,2017-01-31
OFC2334,Karen Dickerson,BXW131,,2023-04-03
OFC2335,Mary Johnson,BR1045,Branch Manager,10/10/2019
OFC2336,David Gilbert,BR1065,credit officer,2018-08-30
OFC2337,Jeffrey Wilson,BR1001,Credit Officer,2012-04-02
OFC2338,Jennifer Palmer,BXW118,Branch Manager,21/10/2022
OFC2339,Angela Stevens,BR1035,Relationship Manager,2020-01-14
